﻿IllustratedHandbook,Illustration,ภาพประกอบ
IllustratedHandbookTitle_Character,Character,ตัวละคร
IllustratedHandbookTitle_Item,Item,สิ่งของ
IllustratedHandbookTitle_Map,Scene,ฉาก
IllustratedHandbookTitle_Ending,Ending,ฉากจบ
101_name,Hermit in the village,ผู้เร้นกายในหมู่บ้าน
102_name,Hard life,ชีวิตยากลำบาก
103_name,Innocent victim,เหยื่อผู้บริสุทธิ์
104_name,The Successor of the Three Sects,ผู้สืบทอดสามสำนัก
105_name,Righteous heart,หัวใจคุณธรรม
106_name,Hidden evil intentions,เจตนาร้ายที่ซุกซ่อน
107_name,Young talent,รุ่นเยาว์มากพรสวรรค์
108_name,Brave and fearless,กล้าหาญไม่หวาดกลัว
109_name,Four arts,สี่ศิลป์
110_name,Medicine and poison come from the same source,ยาและพิษล้วนมาจากแหล่งเดียวกัน
111_name,Harm others without benefiting oneself,ทำร้ายผู้อื่นแม้ไม่เกิดประโยชน์ต่อตนเอง
112_name,Head of a family,ผู้นำตระกูล
113_name,Ten great spiritual beasts,สัตว์จิตวิญญาณที่ยิ่งใหญ่ทั้งสิบ
114_name,Sharp divine weapon,อาวุธศักดิ์สิทธิ์
115_name,Protective armor,เกราะป้องกัน
116_name,Unparalleled martial arts,วรยุทธไร้ผู้ต้าน
117_name,Twelve Animal Rings,แหวนสิบสองนักษัตร
118_name,Scenes,ฉาก
119_name,Endings,ฉากจบ
120_name,Grandmaster,ปรมาจารย์
121_name,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
122_name,Wandering around,เดินไปรอบๆ
123_name,Innocent children,เด็กไร้เดียงสา
124_name,Keep oneself pure,รักษาตนให้บริสุทธิ์
125_name,Exotic Beasts,สัตว์หายาก
126_name,Deeply scheming,การวางแผนที่ลึกซึ้ง
