﻿building_木制箱子,Wooden Box,กล่องไม้
building_劈柴堆,Chop firewood pile,กองฟืนตัดแล้ว
building_藤筐,Rattan basket,ตะกร้าหวาย
building_水盆,Water basin,อ่างน้ำ
building_陶土盆,Earthenware basin,อ่างดินเผา
building_水桶,Bucket,ตะกร้า
building_木柴堆,Firewood pile,กองฟืน
building_竹筐,Bamboo basket,ตะกร้าไม้ไผ่
building_木盒,Wooden box,กล่องไม้
building_板车,Pallet truck,รถลากชั้นวางสินค้า
building_百年老枯树,A century old withered tree,ต้นไม้ที่ตายแล้วอายุนับศตวรรษ
building_简陋的木桌,A rudimentary wooden table,โต๊ะไม้ขั้นพื้นฐาน
building_坛子,Jar,โหล
building_晾晒架子,Air drying rack,ราวตากอากาศ
building_装稻草的布袋,A cloth bag containing straw,กระเป๋าผ้าใส่ฟาง
building_兽皮架,Animal skin rack,ราวหนังสัตว์
building_树桩,Stump,ตอไม้
building_简陋的木凳,A rudimentary wooden stool,ม้านั่งไม้
building_晾衣架,Clothes hanger,ที่แขวนเสื้อ
building_陶土罐,Clay jar,ไหดินเหนียว
building_鸡窝,Chicken coop,เล้าไก่
building_石磨,Stone mill,โม่หิน
building_箭垛,Arrow crib,ที่เก็บลูกธนู
building_鱼篓,Fish basket,ตะกร้าปลา
building_土地庙,Tudi Temple,อารามทูตี้
building_面袋,Noodle bag,ถุงบะหมี่
building_柜台,Counter,สวนกลับ
building_货架,Shelves,ชั้นวางของ
building_矮木桌,Low wooden table,โต๊ะไม้เตี้ย
building_古董架,Antique shelf,ตู้เก็บของเก่า
building_石雕盆景,Stone carving bonsai,บอนไซหินสลัก
building_画缸,Painting cylinder,ถังสี
building_杂书堆,Miscellaneous book pile,กองหนังสือสัพเพเหระ
building_精致的书柜,Exquisite Bookcase,ตู้หนังสือล้ำค่า
building_精致的古董柜,Exquisite Antique Cabinet,ตู้เก็บของเก่าล้ำค่า
building_唐三彩,Trio-colored glazed pottery of the Tang Dynasty,เครื่องปั้นดินเผาเคลือบสามสีสมัยราชวงค์ถัง
building_冰鉴,Ice Mirror,กระจกน้ำแข็ง
building_书案,Book case,ชั้นหนังสือ
building_木椅,Wooden chair,เก้าอี้ไม้
building_橱柜,Cabinet,ตู้
building_杂物袋,Debris bag,ถุงขยะ
building_洗漱架,Washstand,อ่างล้างหน้า
building_不知名的青铜器,Unknown Bronze Ware,ภาชนะทองแดงไม่ทราบที่มา
building_杂物架,Oddments rack,ชั้นวางของจิปาถะ
building_储物架,Storage rack,ชั้นเก็บของ
building_储物柜,Lockers,ตู้เก็บของ
building_木桌,Wooden table,โต๊ะไม้
building_木桶,Wooden barrel,ถังไม้
building_木雕,woodcarving,ไม้สลัก
building_破损的竹椅,Damaged Bamboo Chair,เก้าอี้ไผ่เสียหาย
building_杂物堆,Debris pile,กองเศษขยะ
building_破损的木板床,Damaged wooden bed,เตียงไม้เสียหาย
building_破损的储物架,Damaged storage rack,ชั้นเก็บของเสียหาย
building_破损的坛子,Broken Jar,ไหเสียหาย
building_破损的长桌,Damaged Long Table,โต๊ะยาวเสียหาย
building_兵器架,Weapon rack,ชั้นวางอาวุธ
building_残破的桌子,Broken Table,โต๊ะพัง
building_残破的窗棱,Broken Window Ledge,ขอบหน้าต่างผุพัง
building_小坛子,Small Jar,ไหเล็ก
building_旗帜,Flag,ธง
building_虎皮座椅,Tiger leather seat,ที่นั่งหนังเสือ
building_长桌,Long table,โต๊ะยาว
building_倒下的枯树干,Fallen dead tree trunks,ต้นไม้ตายแล้วหักลง
building_破损的木桶,Damaged wooden bucket,ถังไม้เสียหาย
building_破损的灶台,Broken Stove,เตาเสียหาย
building_破损的小坛子,Broken Small Jar,ไหเล็กเสียหาย
building_长木凳,Long wooden bench,ม้านั่งไม้ยาว
building_杂物包裹,Sundry packages,ห่อของกระจุกกระจิก
building_供台,Altar,แท่นบูชา
building_巨石,Megalith,หินยักษ์
building_草垛,Haystack,กองหญ้า
building_栅栏,Fence,รั้ว
building_木制长箱,Wooden Long Box,กล่องไม้ยาว
building_桃树,Peach,ลูกพีช
building_石床,Stone bed,เตียงศิลา
building_屏风,Screen,แผ่นกั้น
building_花盆,Flower pot,กระถางดอกไม้
building_落地宫灯,Floor mounted palace lamp,โคมไฟพระราชวังแบบตั้งพื้น
building_圆桌,Round table,โต๊ะกลม
building_圆凳,Circular stool,ม้านั่งกลม
building_青花瓷花瓶,Blue and white porcelain vase,แจกันลายครามสีฟ้าขาว
building_架格,Frame grid,กรอบตาข่าย
building_花架,Flower rack,ชั้นเก็บดอกไม้
building_红珊瑚,Red coral,ปะการังสีแดง
building_冰块,Ice cubes,ก้อนน้ำแข็ง
building_铁门,Iron Door,ประตูเหล็ก
building_辕门,Gate,ประตู
building_香炉,Incense Burner,กระถางธูป
